,Age,MaritalStatus,EmpDepartment,EmpJobRole,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpEnvironmentSatisfaction,EmpHourlyRate,EmpJobInvolvement,EmpJobLevel,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,EmpRelationshipSatisfaction,EmpWorkLifeBalance,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,Attrition,Actual_PerformanceRating,Predicted_PerformanceRating_Logistic_Regression,Predicted_PerformanceRating_Support Vector Classifier_1,Predicted_PerformanceRating_Support_Vector_Classifier_2,Predicted_PerformanceRating_Decision_Tree_Classifier,Predicted_PerformanceRating_Random_Forest_Classifier,Predicted_PerformanceRating_AdaBoost_Classifier,Predicted_PerformanceRating_Gradient_Boosting_Classifier,Predicted_PerformanceRating_Stacking_Classifier
65,33,Single,Development,Developer,Travel_Rarely,2,3,3,78,3,1,4,No,11,4,3,1,0,No,3,3,3,3,3,3,3,3,3
66,34,Divorced,Sales,Sales Executive,Non-Travel,10,3,4,87,3,2,1,Yes,14,3,3,14,0,No,3,3,3,3,3,3,3,3,3
67,34,Divorced,Development,Developer,Travel_Frequently,10,4,4,43,3,1,1,Yes,17,4,4,3,2,No,3,3,4,3,3,3,3,3,3
68,35,Single,Research & Development,Manufacturing Director,Travel_Frequently,18,2,3,60,3,3,2,No,11,3,3,2,2,No,3,3,3,3,3,3,3,3,3
69,29,Married,Sales,Sales Representative,Travel_Frequently,20,3,3,84,3,1,1,No,15,2,3,1,0,No,3,3,3,3,3,3,3,3,3
70,28,Single,Data Science,Data Scientist,Travel_Rarely,16,2,2,68,4,2,0,No,19,3,3,3,0,No,3,3,3,3,3,3,3,3,3
71,53,Divorced,Research & Development,Manager R&D,Travel_Rarely,7,2,4,50,3,5,3,No,18,2,3,7,4,No,3,3,3,3,3,3,3,3,3
72,34,Single,Sales,Sales Executive,Travel_Rarely,2,3,3,86,3,2,0,Yes,12,4,3,2,0,No,3,3,3,3,3,3,3,3,3
73,39,Single,Research & Development,Research Scientist,Travel_Rarely,24,1,1,52,3,2,7,No,13,1,3,7,1,No,2,2,2,2,2,2,3,2,2
74,32,Married,Sales,Sales Executive,Travel_Rarely,8,2,3,65,2,2,1,Yes,11,4,3,12,11,No,3,3,3,3,3,3,3,3,3
75,43,Married,Research & Development,Healthcare Representative,Travel_Rarely,11,3,1,30,3,3,1,No,17,2,3,9,0,No,3,3,3,3,3,3,3,3,3
76,50,Married,Research & Development,Manager R&D,Travel_Frequently,2,3,4,30,3,4,2,No,22,3,3,2,2,No,4,4,4,4,4,4,4,4,4
77,53,Married,Sales,Sales Executive,Travel_Rarely,8,3,1,73,3,4,5,No,14,3,3,0,2,No,3,2,3,3,3,3,3,3,3
78,35,Married,Research & Development,Research Scientist,Travel_Rarely,1,4,3,62,1,1,1,No,12,4,3,3,1,No,3,3,3,3,3,3,3,3,3
79,37,Single,Research & Development,Manager R&D,Travel_Rarely,11,3,1,94,3,1,4,No,18,1,3,2,0,No,3,3,3,3,3,3,3,3,3
80,53,Married,Sales,Manager,Travel_Rarely,2,4,1,78,2,4,2,No,16,3,3,8,3,No,2,2,2,2,2,2,3,2,2
81,57,Married,Development,Developer,Travel_Rarely,1,4,4,88,3,2,2,No,11,3,3,2,1,No,3,3,3,3,3,3,3,3,3
82,59,Single,Research & Development,Manufacturing Director,Travel_Rarely,2,3,3,69,2,4,3,Yes,13,1,3,3,4,No,3,3,3,3,3,3,3,3,3
83,46,Divorced,Human Resources,Human Resources,Travel_Rarely,5,2,2,80,3,2,8,Yes,22,4,3,2,0,No,3,4,3,3,3,3,3,3,3
84,27,Married,Sales,Sales Executive,Travel_Rarely,10,3,4,98,2,2,1,Yes,11,4,3,2,4,No,3,3,3,3,3,3,3,3,3
85,55,Single,Sales,Sales Executive,Travel_Rarely,13,4,1,85,4,4,6,Yes,17,3,2,7,3,Yes,2,2,2,2,2,2,2,2,2
86,50,Divorced,Sales,Sales Executive,Travel_Rarely,28,3,4,39,2,3,4,Yes,13,2,3,2,2,Yes,3,3,3,3,3,3,3,3,3
87,26,Married,Sales,Sales Executive,Travel_Rarely,23,3,3,47,2,2,7,Yes,19,3,2,2,0,No,3,3,3,3,3,3,3,3,3
88,34,Divorced,Development,Developer,Travel_Rarely,10,3,2,83,3,1,1,No,14,2,3,0,1,No,3,3,3,3,3,3,3,3,3
89,46,Single,Sales,Sales Executive,Non-Travel,26,2,2,98,2,2,8,No,15,3,3,2,2,No,2,2,2,2,2,2,3,2,2
90,45,Married,Research & Development,Research Scientist,Travel_Rarely,28,3,4,97,3,1,4,No,20,4,3,4,0,No,4,4,4,4,4,4,3,4,4
91,30,Single,Sales,Sales Representative,Travel_Rarely,7,1,4,57,3,1,0,No,14,1,3,2,1,No,3,3,3,3,3,3,3,3,3
92,58,Married,Sales,Manager,Travel_Rarely,21,3,4,72,3,4,4,Yes,13,3,2,0,0,No,3,3,3,3,3,3,3,3,3
93,25,Married,Sales,Sales Executive,Travel_Rarely,8,3,4,57,4,2,0,No,22,3,3,2,1,No,4,4,4,4,4,4,4,4,4
94,26,Divorced,Research & Development,Research Scientist,Travel_Frequently,1,1,1,66,2,1,1,No,13,3,3,3,1,No,2,2,2,2,3,2,3,2,2
95,45,Divorced,Research & Development,Healthcare Representative,Travel_Rarely,1,4,1,66,3,3,1,No,12,1,3,8,7,No,2,2,2,2,2,2,3,2,2
96,35,Single,Human Resources,Human Resources,Travel_Rarely,8,4,3,100,3,1,1,No,17,2,1,4,1,No,2,3,3,3,3,3,3,2,3
97,25,Married,Research & Development,Laboratory Technician,Travel_Rarely,19,1,4,67,3,1,3,No,11,3,2,2,1,No,3,3,3,3,3,3,3,3,3
98,26,Married,Development,Developer,Travel_Frequently,11,2,1,60,3,2,1,Yes,13,3,3,3,3,No,3,3,3,3,3,3,3,3,3
99,30,Married,Development,Developer,Travel_Rarely,22,3,1,48,3,1,4,Yes,11,2,3,2,0,Yes,3,3,3,3,3,3,3,3,3
100,24,Married,Development,Senior Developer,Travel_Frequently,7,3,1,55,3,1,1,Yes,16,4,3,3,1,Yes,2,2,2,3,2,2,3,2,3
101,40,Married,Sales,Sales Executive,Travel_Rarely,9,2,1,47,3,2,0,No,12,4,4,4,7,No,2,2,2,2,2,2,3,2,2
102,34,Single,Sales,Sales Executive,Non-Travel,19,3,1,67,4,2,8,Yes,13,2,2,2,0,Yes,3,3,3,3,3,3,3,3,3
103,20,Single,Sales,Sales Representative,Travel_Rarely,2,3,3,49,2,1,1,No,13,4,2,2,0,Yes,3,3,3,3,3,3,3,3,3
104,50,Married,Sales,Sales Representative,Travel_Rarely,8,4,4,54,3,1,7,No,15,4,3,2,2,No,3,3,3,3,3,3,3,3,3
105,29,Married,Sales,Sales Executive,Travel_Rarely,23,1,4,45,2,3,1,No,13,1,1,8,3,Yes,2,3,2,3,3,2,3,2,3
106,30,Single,Sales,Sales Executive,Travel_Frequently,26,4,3,52,2,2,5,No,15,3,2,3,0,Yes,3,3,3,3,3,3,3,3,3
107,35,Single,Sales,Sales Executive,Travel_Frequently,12,4,4,36,3,2,3,Yes,24,1,4,9,6,Yes,4,4,4,4,4,4,4,4,4
108,42,Married,Human Resources,Manager,Travel_Rarely,10,3,3,31,3,4,0,No,14,3,3,7,0,No,3,3,3,3,3,3,3,3,3
109,41,Divorced,Sales,Sales Executive,Travel_Rarely,4,1,3,81,3,3,0,Yes,13,4,4,14,13,No,3,3,3,3,3,3,3,3,3
110,28,Married,Research & Development,Manager R&D,Non-Travel,1,3,3,55,1,2,0,No,11,1,3,8,7,No,3,3,3,3,3,3,3,3,3
111,35,Divorced,Sales,Sales Executive,Travel_Rarely,15,2,1,59,1,2,6,Yes,14,4,2,2,2,Yes,2,2,2,2,2,2,2,2,2
112,48,Divorced,Research & Development,Manager,Travel_Frequently,22,3,4,58,3,4,3,No,11,2,3,17,4,No,3,3,3,3,3,3,3,3,3
113,37,Married,Development,Developer,Travel_Rarely,19,2,2,73,3,1,4,No,21,1,3,0,0,No,4,4,4,4,4,4,4,4,4
114,33,Single,Sales,Sales Executive,Non-Travel,2,3,4,62,3,2,8,No,15,4,2,7,1,No,3,3,3,3,3,3,3,3,3
115,48,Single,Research & Development,Healthcare Representative,Travel_Rarely,6,3,1,97,2,2,2,No,13,4,3,2,2,No,2,2,2,2,3,2,2,2,2
116,31,Divorced,Sales,Sales Executive,Travel_Rarely,13,4,2,46,3,2,2,No,17,3,1,1,1,Yes,3,2,2,2,3,2,3,3,2
117,28,Single,Research & Development,Senior Manager R&D,Non-Travel,24,2,2,72,2,3,1,No,12,1,2,7,1,Yes,2,2,2,2,2,2,2,2,2
118,32,Divorced,Development,Developer,Non-Travel,1,3,4,61,3,1,0,No,12,2,3,0,0,No,3,3,3,3,3,3,3,3,3
119,31,Married,Sales,Sales Executive,Travel_Frequently,26,4,1,63,3,2,1,Yes,11,3,3,7,0,Yes,3,3,3,3,3,3,3,3,3
120,41,Married,Sales,Sales Executive,Travel_Rarely,1,3,2,49,4,3,1,No,16,3,3,7,0,No,3,3,3,3,3,2,3,3,3
121,27,Divorced,Development,Developer,Travel_Rarely,6,4,1,66,2,1,0,No,12,3,2,3,0,No,3,3,3,3,3,3,3,3,3
122,56,Married,Development,Developer,Travel_Rarely,9,3,3,81,3,4,7,No,11,3,2,7,1,No,3,3,3,3,3,3,3,3,3
123,48,Married,Development,Senior Developer,Travel_Rarely,1,4,4,40,2,4,7,No,11,1,1,2,0,No,3,3,3,3,3,3,3,3,3
124,33,Married,Sales,Sales Executive,Travel_Frequently,7,3,4,54,3,2,0,No,14,1,3,3,0,No,3,3,3,3,3,3,3,3,3
125,32,Single,Research & Development,Research Scientist,Travel_Frequently,5,2,1,47,4,1,3,Yes,14,1,3,1,0,Yes,3,3,3,3,3,3,3,3,3
126,33,Married,Research & Development,Research Scientist,Travel_Rarely,8,4,4,90,4,1,6,No,19,2,3,8,7,No,3,4,3,3,3,3,3,3,3
127,41,Married,Sales,Manager,Travel_Rarely,2,5,2,91,3,4,7,No,16,2,3,16,11,No,2,2,2,2,2,2,2,2,2
128,41,Married,Research & Development,Research Scientist,Travel_Rarely,1,3,4,76,3,1,3,No,22,1,3,3,1,No,4,4,4,4,4,4,4,4,4
129,40,Divorced,Sales,Sales Executive,Travel_Rarely,2,2,4,46,3,2,7,No,12,3,3,4,1,No,3,3,3,3,3,3,3,3,3
130,32,Single,Finance,Finance Manager,Travel_Rarely,2,4,4,95,3,1,1,No,12,1,3,0,0,Yes,3,3,3,3,3,3,3,3,3
131,52,Divorced,Development,Developer,Travel_Rarely,6,2,4,78,3,2,3,Yes,12,2,3,9,6,No,3,3,3,3,3,3,3,3,3
132,39,Single,Research & Development,Manufacturing Director,Travel_Frequently,22,3,4,82,3,3,1,Yes,13,3,3,6,2,No,3,3,3,3,3,3,3,3,3
133,45,Married,Development,Technical Lead,Non-Travel,2,2,1,65,2,4,9,No,23,4,3,8,11,No,3,4,2,3,2,3,3,3,3
134,30,Married,Development,Senior Developer,Non-Travel,3,3,3,53,3,1,4,No,15,3,1,3,1,No,3,3,3,3,3,3,3,3,3
135,43,Divorced,Development,Technical Lead,Non-Travel,7,3,4,37,4,1,4,No,14,4,4,4,2,No,3,3,4,3,3,3,3,3,3
136,58,Married,Research & Development,Manufacturing Director,Travel_Rarely,7,4,3,53,2,3,7,Yes,14,4,2,9,5,Yes,3,3,3,3,3,3,3,3,3
137,32,Married,Finance,Finance Manager,Travel_Rarely,5,4,2,35,4,1,3,No,17,4,3,2,0,No,3,3,3,3,3,3,3,3,3
138,36,Married,Sales,Sales Executive,Travel_Frequently,3,4,1,48,2,3,4,No,11,1,3,9,1,No,2,2,2,2,2,2,3,2,2
139,41,Single,Sales,Manager,Travel_Rarely,6,3,4,75,3,3,3,Yes,18,3,3,0,0,No,3,3,4,3,3,3,3,3,3
140,36,Married,Research & Development,Manager R&D,Non-Travel,9,4,1,66,4,1,1,No,22,2,3,4,0,No,3,4,2,3,3,3,3,3,4
141,38,Married,Research & Development,Healthcare Representative,Travel_Rarely,18,3,2,60,1,2,3,Yes,16,3,3,0,1,No,3,3,3,3,3,3,3,3,3
142,34,Divorced,Research & Development,Research Scientist,Travel_Frequently,1,4,4,91,3,1,5,No,14,3,3,3,1,No,3,3,3,3,3,3,3,3,3
143,32,Single,Research & Development,Research Scientist,Travel_Rarely,2,3,4,78,3,1,1,No,14,4,3,2,1,No,3,3,3,3,3,3,3,3,3
144,27,Single,Research & Development,Manager R&D,Travel_Frequently,5,2,4,53,3,1,0,Yes,14,3,2,4,0,No,3,3,3,3,3,3,3,3,3
145,25,Married,Sales,Sales Representative,Travel_Rarely,13,1,2,40,3,1,1,No,11,3,3,4,0,No,3,3,3,3,3,2,2,3,3
146,39,Married,Development,Developer,Travel_Rarely,10,1,3,99,3,4,1,Yes,14,4,3,9,11,No,3,3,3,3,3,3,3,3,3
147,25,Single,Development,Developer,Travel_Rarely,2,1,1,65,4,1,7,No,13,3,2,3,0,No,3,3,3,3,3,3,3,3,3
148,33,Single,Research & Development,Healthcare Representative,Travel_Rarely,8,5,4,69,3,2,2,Yes,17,1,3,0,0,No,3,3,3,3,2,3,3,3,3
149,41,Single,Sales,Sales Executive,Travel_Frequently,4,3,1,56,3,2,1,No,18,3,3,7,7,Yes,2,2,2,2,2,2,2,2,2
150,38,Single,Sales,Sales Executive,Travel_Rarely,1,4,1,59,2,2,4,No,22,3,4,3,0,No,4,4,4,4,4,4,4,4,4
151,35,Married,Development,Technical Architect,Travel_Rarely,8,1,4,36,4,1,1,No,19,4,3,0,0,No,3,3,3,3,3,3,3,3,3
152,48,Single,Research & Development,Manufacturing Director,Travel_Rarely,4,3,4,54,3,3,1,No,11,3,3,9,0,No,3,3,3,3,3,3,3,3,3
153,40,Single,Sales,Sales Executive,Non-Travel,24,3,2,100,4,4,4,Yes,16,4,2,0,0,Yes,3,3,3,3,3,3,3,3,3
154,33,Single,Sales,Sales Executive,Travel_Rarely,9,4,1,77,3,2,0,Yes,17,1,3,2,0,Yes,3,3,3,3,3,3,3,3,3
155,53,Married,Sales,Sales Representative,Travel_Rarely,6,2,2,34,3,2,2,Yes,20,4,1,7,4,No,2,2,2,2,2,2,2,2,2
156,42,Married,Research & Development,Healthcare Representative,Travel_Frequently,2,3,4,40,3,3,2,Yes,14,3,1,8,13,No,3,3,3,3,3,3,3,3,3
157,31,Married,Research & Development,Manufacturing Director,Travel_Frequently,1,1,3,96,3,2,1,No,12,3,3,3,0,No,3,3,3,3,3,3,3,3,3
158,35,Married,Sales,Sales Executive,Travel_Rarely,16,3,3,96,3,3,0,No,15,3,2,9,6,No,3,3,3,3,3,3,3,3,3
159,28,Single,Research & Development,Laboratory Technician,Travel_Frequently,2,2,3,38,2,1,7,No,11,3,2,0,0,Yes,3,3,3,3,3,3,3,3,3
160,25,Divorced,Finance,Finance Manager,Travel_Frequently,2,1,4,77,4,2,1,No,17,3,3,7,0,No,3,3,3,3,3,3,3,3,3
161,19,Single,Sales,Sales Representative,Travel_Rarely,22,1,4,50,3,1,1,Yes,19,4,2,0,0,Yes,3,3,3,3,3,3,3,3,3
162,42,Single,Development,Senior Developer,Travel_Frequently,2,1,2,35,3,1,5,Yes,14,4,3,1,2,No,3,2,2,3,3,3,3,3,3
163,30,Single,Development,Developer,Travel_Frequently,1,2,3,58,3,2,1,No,23,4,3,8,3,No,4,4,4,4,4,4,4,4,4
164,43,Divorced,Development,Technical Architect,Travel_Rarely,2,2,4,72,4,1,1,No,12,4,2,3,1,No,3,3,3,3,3,3,3,3,3
165,44,Married,Development,Developer,Travel_Rarely,9,2,2,61,3,1,1,Yes,13,4,3,7,7,No,3,3,3,3,2,3,3,3,3
166,29,Married,Sales,Sales Executive,Travel_Rarely,27,3,2,35,3,3,1,No,22,4,2,4,1,Yes,2,2,2,2,2,2,2,2,2
167,52,Single,Sales,Manager,Non-Travel,2,4,1,79,2,5,1,Yes,18,4,4,7,15,No,2,2,2,2,2,2,3,2,2
168,37,Divorced,Development,Business Analyst,Travel_Rarely,1,4,1,51,2,2,1,No,18,3,4,5,0,No,3,3,4,3,3,3,3,3,3
169,22,Single,Development,Developer,Travel_Rarely,15,3,2,59,3,1,1,No,15,3,3,0,0,No,3,3,3,3,3,3,3,3,3
170,28,Divorced,Research & Development,Research Scientist,Travel_Frequently,6,3,3,39,2,1,1,Yes,14,4,3,1,0,No,3,3,3,3,3,3,3,3,3
171,23,Single,Development,Developer,Travel_Rarely,10,1,1,79,4,1,1,No,18,4,3,2,0,No,3,3,3,3,3,3,3,3,3
172,31,Single,Development,Developer,Travel_Rarely,9,4,3,42,2,1,0,Yes,16,4,3,2,2,No,3,3,3,3,3,3,3,3,3
173,55,Married,Human Resources,Manager,Travel_Rarely,26,4,3,71,4,5,4,Yes,18,1,3,9,1,No,3,3,3,3,3,3,3,3,3
174,44,Divorced,Research & Development,Research Scientist,Travel_Frequently,1,2,3,99,3,1,1,Yes,12,3,2,3,2,Yes,3,3,3,3,3,3,3,3,3
175,34,Single,Research & Development,Research Scientist,Travel_Rarely,7,4,1,35,3,1,1,No,13,3,1,0,0,No,3,3,3,3,3,3,3,3,3
176,21,Single,Data Science,Data Scientist,Travel_Rarely,18,1,4,65,3,1,1,No,19,1,2,0,0,Yes,3,3,4,3,3,3,3,3,3
